created_ts,process_id,file_id,status,contract_id,served_itsi,served_cc,served_nc,served_msisdn,org_level_main,org_sublevel1,org_sublevel2,org_sublevel3,org_sublevel4,org_sublevel5,other_party_type,other_party,other_party_itsi,other_party_cc,other_party_nc,dialled_number,call_ref,source_dxt,dxt_seq_nr,connected_number,connected_nitsi,connection_group,served_party_dxt_id,a_location_area,a_cell_id,sds_service_type,sds_type,sds_length,sds_timestamp,cells_distributed,cells_reached,dispatchers_reached,sds_result,ss_records,num_groups,part_group1,part_group2,part_group3,part_group4,part_group5,part_group6,part_group7,part_group8,event_time_hour,call_type,forward_number,trans_forw_number,trans_rep_flag,message_reference,sending_profile,target_dxt_id,target_loc_area,target_channel_type,sdstl_protocol_id,diagnostics
2017-10-15 14:20:53.31,46,1174,2,,1005374,000,000,"",2,26,,,,,1,0426000111008947,1012050,000,000,0426000111008947,64511DD8,123123,25737,0426000111008947,0426000111008947,65535,123123,1003,1,1,3,72,2017-10-15 14:20:22.77,1,1,0,0,,,"","","","","","","","",2017-10-15 14:00:00,SDS,"","",0,214,-1,123123,1035,1,130,0
2017-10-15 14:20:53.21,46,1174,2,,1005374,000,000,"",2,26,,,,,1,0426000111008947,1012050,000,000,0426000111008947,64511D73,123123,25614,0426000111008947,0426000111008947,65535,123123,1003,1,0,3,32,2017-10-15 14:20:14.5,1,1,0,0,,,"","","","","","","","",2017-10-15 14:00:00,SDS,"","",1,209,-1,123123,1035,1,130,0
2017-10-15 14:20:52.94,46,1174,2,,1005374,000,000,"",2,26,,,,,1,0426000111008947,1012050,000,000,0426000111008947,64511BDB,123123,25150,0426000111008947,0426000111008947,65535,123123,1003,1,1,3,456,2017-10-15 14:19:46.6,1,1,0,0,,,"","","","","","","","",2017-10-15 14:00:00,SDS,"","",0,213,-1,123123,1035,0,130,0
2017-10-15 14:20:52.65,46,1174,2,,1005374,000,000,"",2,26,,,,,1,0426000111008947,1012050,000,000,0426000111008947,64511A0D,123123,24640,0426000111008947,0426000111008947,65535,123123,1003,1,0,3,32,2017-10-15 14:19:13.13,1,1,0,0,,,"","","","","","","","",2017-10-15 14:00:00,SDS,"","",1,208,-1,123123,1035,1,130,0
2017-10-15 14:20:58.04,46,1175,2,,1005374,000,000,"",2,26,,,,,1,0426000111008947,1012050,000,000,0426000111008947,64513C6D,123123,34441,0426000111008947,0426000111008947,65535,123123,1003,1,0,3,32,2017-10-15 14:29:39.52,1,1,0,0,,,"","","","","","","","",2017-10-15 14:00:00,SDS,"","",1,212,-1,123123,1035,1,130,0
2017-10-15 12:45:20.25,11,569,2,,1005375,000,000,"",2,26,,,,,1,0426000111006135,1005373,000,000,0426000111006135,64202D43,123123,15954,0426000111006135,0426000111006135,65535,123123,1003,1,0,3,32,2017-10-12 15:10:40.51,1,1,0,0,,,"","","","","","","","",2017-10-12 15:00:00,SDS,"","",1,209,-1,123123,1003,1,130,0
2017-10-15 12:46:29.28,11,601,2,,1005375,000,000,"",2,26,,,,,1,0426000111006135,1005373,000,000,0426000111006135,641C6EA8,123123,5261,0426000111006135,0426000111006135,65535,123123,1003,1,0,3,32,2017-10-12 10:25:24.12,1,1,0,0,,,"","","","","","","","",2017-10-12 10:00:00,SDS,"","",1,230,-1,123123,1003,1,130,0
2017-10-15 12:46:29.65,11,601,2,,1005375,000,000,"",2,26,,,,,1,0426000111006135,1005373,000,000,0426000111006135,641C717C,123123,6059,0426000111006135,0426000111006135,65535,123123,1003,1,1,3,176,2017-10-12 10:26:10.71,1,1,0,0,,,"","","","","","","","",2017-10-12 10:00:00,SDS,"","",0,216,-1,123123,1003,1,130,0
2017-10-15 12:46:29.87,11,601,2,,1005375,000,000,"",2,26,,,,,1,0426000111006135,1005373,000,000,0426000111006135,641C7304,123123,6488,0426000111006135,0426000111006135,65535,123123,1003,1,0,3,32,2017-10-12 10:26:36.25,1,1,0,0,,,"","","","","","","","",2017-10-12 10:00:00,SDS,"","",1,202,-1,123123,1003,1,130,0
2017-10-15 12:46:30.3,11,601,2,,1005375,000,000,"",2,26,,,,,1,0426000111006135,1005373,000,000,0426000111006135,641C7638,123123,7426,0426000111006135,0426000111006135,65535,123123,1003,1,1,3,216,2017-10-12 10:27:29.93,1,1,0,0,,,"","","","","","","","",2017-10-12 10:00:00,SDS,"","",0,217,-1,123123,1003,1,130,0
2017-10-15 12:46:30.83,11,601,2,,1005375,000,000,"",2,26,,,,,1,0426000111006135,1005373,000,000,0426000111006135,641C79FA,123123,8496,0426000111006135,0426000111006135,65535,123123,1003,1,0,3,32,2017-10-12 10:28:32.76,1,1,0,0,,,"","","","","","","","",2017-10-12 10:00:00,SDS,"","",1,203,-1,123123,1003,0,130,0
2017-10-15 12:46:36.28,11,590,2,,1005375,000,000,"",2,26,,,,,1,0426000111006136,1005374,000,000,0426000111006136,640BC3C0,123123,36385,0426000111006136,0426000111006136,65535,123123,1003,1,1,3,104,2017-10-11 11:28:02.25,1,1,0,0,,,"","","","","","","","",2017-10-11 11:00:00,SDS,"","",0,211,-1,123123,1003,0,130,0
2017-10-15 12:46:36.35,11,590,2,,1005375,000,000,"",2,26,,,,,1,0426000111006136,1005374,000,000,0426000111006136,640BC43F,123123,36532,0426000111006136,0426000111006136,65535,123123,1003,1,1,3,104,2017-10-11 11:28:09.5,1,1,0,0,,,"","","","","","","","",2017-10-11 11:00:00,SDS,"","",0,212,-1,123123,1003,1,130,0
